budget,customers_targeted,total_cost,total_expected_benefit,total_net_gain,roi
200.0,100.0,200.0,9101.686041281653,8901.686041281653,44.50843020640826
765.6363636363636,382.0,764.0,20284.84662939492,19520.84662939492,25.55084637355356
1331.2727272727273,665.0,1330.0,28244.411124460494,26914.411124460494,20.23639934169962
1896.909090909091,948.0,1896.0,34755.20479837084,32859.20479837084,17.33080421855002
2462.5454545454545,1231.0,2462.0,40270.99233734502,37808.99233734502,15.357023695103583
3028.181818181818,1514.0,3028.0,44986.66977134293,41958.66977134293,13.856892262662791
3593.818181818182,1796.0,3592.0,49068.203391392926,45476.203391392926,12.660412970877763
4159.454545454546,2079.0,4158.0,52571.61641774316,48413.61641774316,11.643486391953621
4725.090909090909,2362.0,4724.0,55546.4795426741,50822.4795426741,10.7583572274924
5290.727272727273,2645.0,5290.0,57979.949421636775,52689.949421636775,9.960292896339656
5856.363636363636,2928.0,5856.0,59811.564316688055,53955.564316688055,9.213723414734982
6422.0,3211.0,6422.0,60924.85715834509,54502.85715834509,8.48689772007865
