budget,roi_p5,roi_p50,roi_p95,net_gain_p5,net_gain_p50,net_gain_p95
20.0,75.76850809379935,193.54098352785968,352.55548472721796,1397.690276168078,3545.283985422255,6787.820482363211
646.0181818181818,11.766442974851607,32.75027366183052,69.24507881081938,7581.653554073194,21117.482572907385,44726.537324612116
1272.0363636363636,8.744908342750625,24.719353086119007,52.48248062391136,11110.398737022017,31409.14642583028,66737.15154733107
1898.0545454545454,7.311547566329209,20.859616750855835,44.14533068694886,13852.235418879243,39584.68590471401,83745.020537049
2524.072727272727,6.400359228267931,18.364262369215368,38.52360793875358,16149.39334552759,46310.39791434683,97181.30486829864
3150.090909090909,5.757877760313336,16.601903883975424,34.14435090105746,18125.94596162431,52262.00184149793,107521.99297981891
3776.109090909091,5.255606782193864,15.183756032625276,30.65108420809026,19845.2393460537,57304.538063640124,114493.73748208999
4402.127272727273,4.842724263729018,14.08713159766509,27.86683002953534,21315.162917514997,61868.536987614396,119254.1218127046
5028.145454545454,4.515798982181943,13.198136690010354,26.32211705886977,22700.61176526444,65605.14748595045,122504.88156500467
5654.163636363636,4.206451278826953,12.410370523086398,24.82625504173024,23775.865998815683,68749.87616453343,126170.19472652976
6280.181818181818,3.947462998736358,11.715379814376227,23.793133712314173,24673.540471677716,71387.54843972939,128407.43633981103
6906.2,3.71647449124551,11.236288746266492,23.793133712314173,25489.653443456915,73551.54888129691,130135.86237556119
